run_id,seed,workload,alpha,beta,policy,task_id,candidate_count,feasible_count,selected_candidate,selected_group_size,selected_sketch,admitted,latency_s,goodput_contrib,challenge_ms_task,false_risk,infeasible,low_risk,reason
a_min_000149,20260513,single,0.05,0.9,random,eval_149,13,11,cand_wan_e_f,3,scalar16,1,1.01893,1,0.360349,0.0165,1,0,random_scalar16
a_min_000150,20260513,single,0.05,0.9,random,eval_150,13,11,cand_wan_b_d,3,scalar16,1,1.1014,1,0.360349,0.0245,1,0,random_scalar16
a_min_000151,20260513,single,0.05,0.9,random,eval_151,13,11,cand_wan_a_c,3,scalar16,1,1.08487,1,0.360349,0.011,1,0,random_scalar16
a_min_000152,20260513,single,0.05,0.9,random,eval_152,13,11,cand_wan_a_b,3,scalar16,1,1.03465,1,0.360349,0.015,1,0,random_scalar16
a_min_000153,20260513,single,0.05,0.9,random,eval_153,13,11,cand_lan_a_b,3,scalar16,1,0.94247,1,0.360349,0.015,1,0,random_scalar16
a_min_000154,20260513,single,0.05,0.9,random,eval_154,13,11,cand_lan_a_d,3,scalar16,1,0.97607,1,0.360349,0.009,1,0,random_scalar16
a_min_000155,20260513,single,0.05,0.9,random,eval_155,13,11,cand_lan_a_c,3,scalar16,1,0.99296,1,0.360349,0.011,1,0,random_scalar16
a_min_000156,20260513,single,0.05,0.9,random,eval_156,13,11,cand_lan_e_f,3,scalar16,1,0.9254,1,0.360349,0.0165,1,0,random_scalar16
a_min_000157,20260513,single,0.05,0.9,random,eval_157,13,11,cand_homo_ff,1,scalar16,1,1.21756,1,0.360349,0.0,0,1,random_scalar16
a_min_000158,20260513,single,0.05,0.9,random,eval_158,13,11,cand_lan_e_f,3,scalar16,1,0.92738,1,0.360349,0.0165,1,0,random_scalar16
a_min_000159,20260513,single,0.05,0.9,random,eval_159,13,11,cand_lan_a_c,3,scalar16,1,0.9944,1,0.360349,0.011,1,0,random_scalar16
a_min_000160,20260513,single,0.05,0.9,random,eval_160,13,11,cand_wan_a_c,3,scalar16,1,1.08487,1,0.360349,0.011,1,0,random_scalar16
a_min_000161,20260513,single,0.05,0.9,random,eval_161,13,11,cand_lan_a_b,3,scalar16,1,0.94337,1,0.360349,0.015,1,0,random_scalar16
a_min_000162,20260513,single,0.05,0.9,random,eval_162,13,11,cand_lan_a_d,3,scalar16,1,0.97715,1,0.360349,0.009,1,0,random_scalar16
a_min_000163,20260513,single,0.05,0.9,random,eval_163,13,11,cand_lan_b_d,3,scalar16,1,1.01057,1,0.360349,0.0245,1,0,random_scalar16
a_min_000164,20260513,single,0.05,0.9,random,eval_164,13,11,cand_homo_ff,1,scalar16,1,1.21657,1,0.360349,0.0,0,1,random_scalar16
a_min_000165,20260513,single,0.05,0.9,random,eval_165,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.05226,1,0.360349,0.0155,1,0,random_scalar16
a_min_000166,20260513,single,0.05,0.9,random,eval_166,13,11,cand_wan_a_c,3,scalar16,1,1.0855,1,0.360349,0.011,1,0,random_scalar16
a_min_000167,20260513,single,0.05,0.9,random,eval_167,13,11,cand_lan_b_d,3,scalar16,1,1.01246,1,0.360349,0.0245,1,0,random_scalar16
