variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,reference_storage_head_bytes,candidate_working_set_head_bytes,challenge_working_set_head_bytes,challenge_working_set_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_no_commit_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
projcos16,projcos,honest_homo,eval_002,checkpoint_specific,99.0,1.5,256,1024,3072,133175,133175,2132,32,96,134241,134241,268701,268765,1.637084,1.549334,0.367916,0.339667,0.040958,3.567043,3.934959,0,,,187
projcos16,projcos,honest_homo,eval_003,checkpoint_specific,99.0,1.5,256,1024,3072,117824,117824,2132,32,96,118890,118890,237999,238063,1.740708,1.701875,0.363792,0.322625,0.049375,3.814583,4.178375,0,,,187
projcos16,projcos,honest_homo,eval_004,checkpoint_specific,99.0,1.5,256,1024,3072,117850,117850,2132,32,96,118916,118916,238051,238115,1.718125,1.680584,0.389625,0.317125,0.049,3.764834,4.154459,0,,,187
projcos16,projcos,honest_homo,eval_005,checkpoint_specific,99.0,1.5,256,1024,3072,117819,117819,2132,32,96,118885,118885,237989,238053,1.796208,1.787792,0.4115,0.434,0.052209,4.070209,4.481709,0,,,187
projcos16,projcos,honest_homo,eval_006,checkpoint_specific,99.0,1.5,256,1024,3072,117847,117847,2132,32,96,118913,118913,238045,238109,1.697166,1.633542,0.3685,0.311792,0.046541,3.689041,4.057541,0,,,187
projcos16,projcos,honest_homo,eval_007,checkpoint_specific,99.0,1.5,256,1024,3072,148372,148372,2132,32,96,149438,149438,299095,299159,1.747542,1.784125,0.39675,0.360959,0.050417,3.943043,4.339793,0,,,187
projcos16,projcos,honest_homo,eval_008,checkpoint_specific,99.0,1.5,256,1024,3072,148442,148442,2132,32,96,149508,149508,299235,299299,1.65525,1.821334,0.399833,0.355417,0.045083,3.877084,4.276917,0,,,187
projcos16,projcos,honest_homo,eval_009,checkpoint_specific,99.0,1.5,256,1024,3072,148502,148502,2132,32,96,149568,149568,299355,299419,1.757542,1.665083,0.406292,0.394083,0.045709,3.862417,4.268709,0,,,187
projcos16,projcos,honest_homo,eval_010,checkpoint_specific,99.0,1.5,256,1024,3072,117752,117752,2132,32,96,118818,118818,237855,237919,1.557916,1.507,0.327334,0.31775,0.037583,3.420249,3.747583,0,,,187
projcos16,projcos,honest_homo,eval_011,checkpoint_specific,99.0,1.5,256,1024,3072,94634,94634,2132,32,96,95700,95700,191619,191683,1.621375,1.585,0.370458,0.316625,0.048625,3.571625,3.942083,0,,,187
