prompt_id,checkpoint,n,q,rho,attack,support_size,selection_combined,statistic,test_rate,relative_l2,cosine_after_attack
eval_001,prefill__C1,16384,256,0.05,fixed_sparse16,16,0.21875,combined,0.2275390625,0.05000000000000001,0.9987327043075919
eval_001,prefill__C1,16384,256,0.05,adaptive_joint,16,0.234375,spike,0.2021484375,0.05000000260646112,0.9987346533122429
eval_001,prefill__C1,16384,256,0.05,adaptive_joint,16,0.234375,energy,0.2021484375,0.05000000260646112,0.9987346533122429
eval_001,prefill__C1,16384,256,0.05,adaptive_joint,16,0.234375,directional,0.1943359375,0.05000000260646112,0.9987346533122429
eval_001,prefill__C1,16384,256,0.05,adaptive_joint,16,0.234375,combined,0.2021484375,0.05000000260646112,0.9987346533122429
eval_001,prefill__C1,16384,512,0.0,honest,0,,spike,0.03515625,0.0,0.9999927276506787
eval_001,prefill__C1,16384,512,0.0,honest,0,,energy,0.03515625,0.0,0.9999927276506787
eval_001,prefill__C1,16384,512,0.0,honest,0,,directional,0.0234375,0.0,0.9999927276506787
eval_001,prefill__C1,16384,512,0.0,honest,0,,combined,0.03515625,0.0,0.9999927276506787
eval_001,prefill__C1,16384,512,0.01,fixed_diffuse,16384,0.04296875,spike,0.03515625,0.010000000000000004,0.9999426211762481
eval_001,prefill__C1,16384,512,0.01,fixed_diffuse,16384,0.04296875,energy,0.03515625,0.010000000000000004,0.9999426211762481
eval_001,prefill__C1,16384,512,0.01,fixed_diffuse,16384,0.04296875,directional,0.0234375,0.010000000000000004,0.9999426211762481
eval_001,prefill__C1,16384,512,0.01,fixed_diffuse,16384,0.04296875,combined,0.0400390625,0.010000000000000004,0.9999426211762481
eval_001,prefill__C1,16384,512,0.01,fixed_directional,16371,1.0,spike,0.03515625,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,512,0.01,fixed_directional,16371,1.0,energy,0.03515625,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,512,0.01,fixed_directional,16371,1.0,directional,1.0,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,512,0.01,fixed_directional,16371,1.0,combined,1.0,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,512,0.01,fixed_sparse16,16,0.064453125,spike,0.03515625,0.01,0.9999422707758546
eval_001,prefill__C1,16384,512,0.01,fixed_sparse16,16,0.064453125,energy,0.03662109375,0.01,0.9999422707758546
eval_001,prefill__C1,16384,512,0.01,fixed_sparse16,16,0.064453125,directional,0.0419921875,0.01,0.9999422707758546
eval_001,prefill__C1,16384,512,0.01,fixed_sparse16,16,0.064453125,combined,0.05517578125,0.01,0.9999422707758546
eval_001,prefill__C1,16384,512,0.01,adaptive_joint,16384,0.03515625,spike,0.03515625,0.009999997289632287,0.9999427354261837
eval_001,prefill__C1,16384,512,0.01,adaptive_joint,16384,0.03515625,energy,0.03515625,0.009999997289632287,0.9999427354261837
eval_001,prefill__C1,16384,512,0.01,adaptive_joint,16384,0.03515625,directional,0.02294921875,0.009999997289632287,0.9999427354261837
eval_001,prefill__C1,16384,512,0.01,adaptive_joint,16384,0.03515625,combined,0.04248046875,0.009999997289632287,0.9999427354261837
eval_001,prefill__C1,16384,512,0.02,fixed_diffuse,16384,0.185546875,spike,0.03515625,0.020000000000000007,0.99979055871203
eval_001,prefill__C1,16384,512,0.02,fixed_diffuse,16384,0.185546875,energy,0.03515625,0.020000000000000007,0.99979055871203
eval_001,prefill__C1,16384,512,0.02,fixed_diffuse,16384,0.185546875,directional,0.19091796875,0.020000000000000007,0.99979055871203
eval_001,prefill__C1,16384,512,0.02,fixed_diffuse,16384,0.185546875,combined,0.2041015625,0.020000000000000007,0.99979055871203
eval_001,prefill__C1,16384,512,0.02,fixed_directional,16371,1.0,spike,0.03515625,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,512,0.02,fixed_directional,16371,1.0,energy,0.03515625,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,512,0.02,fixed_directional,16371,1.0,directional,1.0,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,512,0.02,fixed_directional,16371,1.0,combined,1.0,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,512,0.02,fixed_sparse16,16,0.40625,spike,0.42626953125,0.020000000000000004,0.9997914564324121
eval_001,prefill__C1,16384,512,0.02,fixed_sparse16,16,0.40625,energy,0.42626953125,0.020000000000000004,0.9997914564324121
eval_001,prefill__C1,16384,512,0.02,fixed_sparse16,16,0.40625,directional,0.2509765625,0.020000000000000004,0.9997914564324121
eval_001,prefill__C1,16384,512,0.02,fixed_sparse16,16,0.40625,combined,0.42626953125,0.020000000000000004,0.9997914564324121
eval_001,prefill__C1,16384,512,0.02,adaptive_joint,16384,0.181640625,spike,0.03515625,0.02000000349545249,0.9997918076552617
eval_001,prefill__C1,16384,512,0.02,adaptive_joint,16384,0.181640625,energy,0.03515625,0.02000000349545249,0.9997918076552617
eval_001,prefill__C1,16384,512,0.02,adaptive_joint,16384,0.181640625,directional,0.15625,0.02000000349545249,0.9997918076552617
eval_001,prefill__C1,16384,512,0.02,adaptive_joint,16384,0.181640625,combined,0.173828125,0.02000000349545249,0.9997918076552617
eval_001,prefill__C1,16384,512,0.05,fixed_diffuse,16384,1.0,spike,0.03515625,0.05000000000000002,0.9987303529174919
eval_001,prefill__C1,16384,512,0.05,fixed_diffuse,16384,1.0,energy,1.0,0.05000000000000002,0.9987303529174919
eval_001,prefill__C1,16384,512,0.05,fixed_diffuse,16384,1.0,directional,0.56787109375,0.05000000000000002,0.9987303529174919
eval_001,prefill__C1,16384,512,0.05,fixed_diffuse,16384,1.0,combined,1.0,0.05000000000000002,0.9987303529174919
eval_001,prefill__C1,16384,512,0.05,fixed_directional,16371,1.0,spike,0.03515625,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,512,0.05,fixed_directional,16371,1.0,energy,1.0,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,512,0.05,fixed_directional,16371,1.0,directional,1.0,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,512,0.05,fixed_directional,16371,1.0,combined,1.0,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,512,0.05,fixed_sparse16,16,0.380859375,spike,0.43359375,0.05,0.9987331199616122
eval_001,prefill__C1,16384,512,0.05,fixed_sparse16,16,0.380859375,energy,0.43359375,0.05,0.9987331199616122
